"Date","URL","Title","Site","Tags"
"10/10/2014","http://www.therecord.com/news-story/4908488-are-robocalls-the-new-norm-in-waterloo-region-/","Are robocalls the new norm in Waterloo Region? ","The Record","waterloo-region,kitchener"
"11/10/2014","http://www.cambridgetimes.ca/news-story/4909629-ward-candidates-discuss-what-s-best-for-cambridge-s-future/","Ward candidates discuss what’s best for Cambridge’s future ","Cambridge Times","cambridge"
"11/10/2014","http://www.therecord.com/news-story/4910856-criminal-charges-candidate-forums-mark-16-days-to-election/","Criminal charges, candidate forums mark 16 days to election ","The Record","waterloo-region,cambridge,kitchener,waterloo,north-dumfries,woolwich"
"13/10/2014","http://www.cambridgetimes.ca/news-story/4909835-casting-a-ballot-in-the-buff/","Casting a ballot in the buff","Cambridge Times","cambridge"
"13/10/2014","http://www.therecord.com/news-story/4911959-a-city-on-the-cusp-of-change-issues-aplenty-for-voters-in-kitchener/","A city on the cusp of change: issues aplenty for voters in Kitchener","The Record","kitchener"
"14/10/2014","http://www.570news.com/2014/10/14/audio-getting-to-know-doug-craig-running-for-mayor-of-cambridge/","AUDIO – Getting to know Doug Craig, running for mayor of Cambridge","570 News","cambridge"
"14/10/2014","http://www.570news.com/2014/10/14/audio-getting-to-know-linda-whetham-running-for-mayor-of-cambridge/","AUDIO – Getting to know Linda Whetham, running for mayor of Cambridge","570 News","cambridge"
"14/10/2014","http://www.570news.com/2014/10/14/audio-getting-to-know-paul-tavares-running-for-mayor-of-cambridge/","AUDIO – Getting to know Paul Tavares, running for mayor of Cambridge","570 News","cambridge"
"14/10/2014","http://www.570news.com/2014/10/14/audio-getting-to-know-andrew-johnson-running-for-mayor-of-cambridge/","AUDIO – Getting to know Andrew Johnson, running for mayor of Cambridge","570 News","cambridge"
"14/10/2014","http://www.570news.com/2014/10/14/audio-getting-to-know-sardool-bhogal-running-for-mayor-of-cambridge/","AUDIO – Getting to know Sardool Bhogal, running for mayor of Cambridge","570 News","cambridge"
"14/10/2014","http://www.570news.com/2014/10/14/audio-getting-to-know-harpinder-singh-running-for-mayor-of-cambridge/","AUDIO – Getting to know Harpinder Singh, running for mayor of Cambridge","570 News","cambridge"
"14/10/2014","http://www.570news.com/2014/10/14/kitchener-mayoral-candidate-drops-out-of-race/","Kitchener mayor’s race down to four candidates","570 News","kitchener"
"14/10/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/james-rhodes-quits-kitchener-mayor-s-race-now-backs-dan-glenn-graham-1.2798336","James Rhodes quits Kitchener mayor's race, now backs Dan Glenn-Graham","CBC","kitchener"
"14/10/2014","http://www.therecord.com/news-story/4911711-replay-cambridge-mayoral-forum/","REPLAY: Cambridge Mayoral Forum","The Record","cambridge"
"14/10/2014","http://www.therecord.com/news-story/4911959-a-city-on-the-cusp-of-change-issues-aplenty-for-voters-in-kitchener/","A city on the cusp of change: issues aplenty for voters in Kitchener","The Record","kitchener"
"14/10/2014","http://www.therecord.com/news-story/4913811-2014-election-wealthy-waterloo-not-without-its-challenges/","2014 election: Wealthy Waterloo not without its challenges","The Record","waterloo"
"14/10/2014","http://www.therecord.com/news-story/4913784-rhodes-pulls-out-of-kitchener-mayoral-race-endorses-glenn-graham/","Rhodes pulls out of Kitchener mayoral race, endorses Glenn-Graham","The Record","kitchener"
"15/10/2014","http://www.570news.com/2014/10/15/dozens-take-part-as-advanced-polls-open-in-kitchener-2/","Dozens take part as advanced polls open in Kitchener","570 News","kitchener,waterloo-region"
"15/10/2014","http://www.cambridgetimes.ca/news-story/4915406-not-sure-where-to-vote-there-s-an-app-for-that/","Not sure where to vote? There’s an app for that","Cambridge Times","cambridge"
"15/10/2014","http://www.cambridgetimes.ca/news-story/4915598-north-dumfries-mayoral-candidates-pitch-their-strengths/","North Dumfries mayoral candidates pitch their strengths","Cambridge Times","north-dumfries"
"15/10/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-2-dave-schnider/","Kitchener Votes Ward 2: Dave Schnider","Kitchener Post","kitchener"
"15/10/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-2-wasai-rahimi/","Kitchener Votes Ward 2: Wasai Rahimi","Kitchener Post","kitchener"
"15/10/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-2-steven-cage/","Kitchener Votes Ward 2: Steven Cage","Kitchener Post","kitchener"
"15/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4902401-wellesley-ward-1","Wellesley Ward 1","The Record","wellesley"
"15/10/2014","http://www.therecord.com/news-story/4913995-cambridge-mayoral-challengers-attack-incumbent-craig-s-record-on-public-buildings-galt-favouritism/","Cambridge mayoral challengers attack incumbent Craig’s record on public buildings, Galt favouritism","The Record","cambridge"
"15/10/2014","http://www.therecord.com/news-story/4911778-replay-waterloo-mayoral-forum/","REPLAY: Waterloo Mayoral Forum","The Record","waterloo"
"15/10/2014","http://www.therecord.com/news-story/4915888-transportation-infrastructure-city-hall-culture-on-cambridge-voters-radar/","Transportation, infrastructure, city hall culture on Cambridge voters’ radar","The Record","cambridge"
"15/10/2014","http://www.therecord.com/news-story/4915963-waterloo-mayoral-hopefuls-debate-travel-budgets-firefighter-bonuses/","Waterloo mayoral hopefuls debate travel budgets, firefighter bonuses","The Record","waterloo"
"15/10/2014","http://www.waterloochronicle.ca/news/civic-engagement-theme-of-ward-5-debate/","Civic engagement theme of Ward 5 debate","Waterloo Chronicle","waterloo"
"15/10/2014","http://www.waterloochronicle.ca/news/passion-versus-polish-in-ward-6-debate/","Passion versus polish in Ward 6 debate","Waterloo Chronicle","waterloo"
"15/10/2014","http://www.waterloochronicle.ca/news/waterloo-votes-2014-infrastructure-deficit/","Waterloo Votes 2014 — Infrastructure Deficit","Waterloo Chronicle","waterloo"
"16/10/2014","http://www.570news.com/2014/10/16/cambridge-ward-5-candidate-uses-revealing-twitter-photo-to-encourage-votes/","Cambridge Ward 5 candidate uses revealing Twitter photo to encourage votes","570 News","cambridge"
"16/10/2014","http://www.cambridgetimes.ca/news-story/4918637-nearly-1-600-ballots-have-already-been-cast-in-cambridge/","Nearly 1,600 ballots have already been cast in Cambridge","Cambridge Times","cambridge"
"16/10/2014","http://www.cambridgetimes.ca/news-story/4918635-former-candidate-accuses-barb-bierman-of-taking-his-ideas/","Former candidate accuses Barb Bierman of taking his ideas","Cambridge Times","cambridge"
"16/10/2014","http://www.kitchenerpost.ca/news/rhodes-drops-out-of-mayoral-race/","Rhodes drops out of mayoral race","Kitchener Post","kitchener"
"16/10/2014","http://www.therecord.com/news-story/4919734-controversy-gravel-pits-debt-and-growth-big-issues-in-waterloo-region-townships/","Controversy, gravel pits, debt and growth big issues in Waterloo Region townships","The Record","north-dumfries,wellesley,wilmot,woolwich"
"17/10/2014","http://www.570news.com/2014/10/17/judge-tosses-legal-challenge-to-have-two-cambridge-mayoral-candidates-disqualified/","Judge tosses legal challenge to have two Cambridge mayoral candidates disqualified","570 News","cambridge"
"17/10/2014","http://www.570news.com/2014/10/17/kitchener-mayoral-candidate-dan-glenn-graham-accused-of-running-interference-in-ward-two/","Kitchener mayoral candidate Dan Glenn-Graham accused of running interference in Ward Two","570 News","kitchener"
